service_slug,display_name,project_category,service_group,trade_family,measurement_profile,allowed_trades,blocked_unless_confirmed,required_inputs,default_assembly,golden_prompt,must_not_include
deck_staining,Deck Staining / Deck Refinishing,Exterior,Deck Refinishing,carpentry_painting,sqft + linear_ft + step + gallon + lump_sum,pressure washing; deck prep; sanding; stain/sealer material; stain/sealer application; protection; cleanup; optional minor deck repairs,HVAC; plumbing; drywall; electrical; flooring; full framing; roofing,deck sqft; railings?; railing linear ft; stairs?; stair count; surface condition; wash/sanding/stripping level; coats; stain type; repairs?,deck_staining_standard_v1,Power wash and stain 250 sf deck,drywall; electrical; plumbing; HVAC; flooring; full framing
windows_doors,Windows / Doors,Openings,Openings,exterior_openings,each + opening + dimensions + linear_ft + lump_sum,window/door replacement; removal/disposal; flashing; tape; caulk; foam insulation; interior/exterior trim; paint/touch-up allowance; minor rough-opening repair,HVAC; plumbing; flooring; full drywall; full electrical; roofing; full framing package,window count; door count; sizes; type; replacement/new opening; interior/exterior trim; disposal; paint/touch-up; flashing/weatherproofing; rough opening damage; lead paint risk,windows_doors_basic_replacement_v1,Install 4 replacement windows,HVAC; plumbing; flooring; full drywall; full electrical; roofing; broad full rehab rows
bathroom_remodel,Bathroom Remodel,Interior Remodel,Bathroom,multi_trade_bath,room + each + sqft + linear_ft + allowance,demo; plumbing; tile; waterproofing; electrical; drywall; fixtures; vanity; toilet; vent fan; paint; protection; cleanup,roofing; siding; HVAC except bath ventilation/duct scope; exterior windows/doors unless specified,bath size; demo level; tub/shower type; tile height; fixtures; plumbing moves; electrical changes; vent fan; waterproofing method; finish materials by TVIK/client,bathroom_tub_to_shower_budget_v1,"Replace bathtub with tiled shower, new toilet, and vanity",roofing; siding; full HVAC unless ventilation scope confirmed
kitchen_remodel,Kitchen Remodel,Interior Remodel,Kitchen,multi_trade_kitchen,linear_ft + each + sqft + allowance,demo; cabinets; countertops; backsplash; plumbing; electrical; flooring; drywall/paint; appliance handling; trim; protection; cleanup,roofing; siding; HVAC unless duct/hood scope confirmed; structural framing unless wall changes confirmed,cabinet linear ft; layout; demo level; counters; backsplash; plumbing changes; electrical changes; flooring; appliance handling; finish material responsibility,kitchen_refresh_v1,Replace kitchen cabinets and backsplash,roofing; siding; HVAC unless confirmed; broad exterior rows
flooring,Flooring,Interior Finish,Flooring,flooring,sqft + linear_ft + transition + lump_sum,floor demo; underlayment; flooring install; transitions; base shoe; subfloor repair allowance; furniture moving; disposal,HVAC; plumbing unless fixture removal/access confirmed; electrical unless floor outlets confirmed; roofing; siding,floor sqft; material; demo?; subfloor condition; transitions; base/shoe; furniture moving; stairs?; material by TVIK/client,flooring_lvp_install_v1,Install 600 sf LVP flooring,HVAC; plumbing; full electrical; roofing; siding
interior_painting,Interior Painting,Interior Finish,Painting,paint,room + wall_sqft + ceiling_sqft + linear_ft + each + gallon,prep; protection; patch; caulk; primer; paint material; paint labor; trim/door painting; cleanup,HVAC; plumbing; flooring install; electrical; roofing; siding; full drywall replacement,rooms; wall sqft; ceiling?; trim?; doors?; coats; repairs; paint supplied by whom; color changes; furniture moving,painting_room_repaint_v1,Paint one bedroom walls and trim,flooring; HVAC; plumbing; full electrical
exterior_painting,Exterior Painting,Exterior,Painting,paint_exterior,sqft + linear_ft + each + gallon + lump_sum,wash; scrape; sanding; caulk; primer; exterior paint; trim; siding paint; protection; cleanup; ladder/scaffold allowance,HVAC; plumbing; interior flooring; interior drywall; roofing replacement,surface sqft; substrate; condition; stories/access; trim count; color/coats; repairs; lead paint risk; weather window,exterior_painting_standard_v1,Paint exterior trim and siding on one-story home,HVAC; plumbing; interior flooring; interior drywall
drywall_patch_repair,Drywall / Patch / Repair,Interior Repair,Drywall,drywall,sqft + each + room + lump_sum,protection; cut/patch; hang drywall; tape; mud; sand; texture; prime/paint allowance; cleanup,HVAC; plumbing; electrical unless access/relocation confirmed; flooring; cabinets,patch count; size; drywall thickness; texture; paint match; moisture/source issue; access; ceiling/wall; finish level,drywall_patch_small_v1,Patch 4 drywall holes after TV mount removal,full rehab drywall package; HVAC; plumbing; flooring
electrical,Electrical,Trade,Electrical,electrical,each + circuit + panel + fixture + allowance,devices; fixtures; circuits; panel; troubleshooting; permit; finish patch allowance,plumbing; HVAC; flooring; drywall except patch/access; roofing,device count; fixture count; circuit count; panel condition; permit?; finish patching; existing conditions; access,electrical_device_update_v1,Replace 10 outlets and 2 light fixtures,plumbing; HVAC; flooring; full drywall package
plumbing,Plumbing,Trade,Plumbing,plumbing,each + fixture + linear_ft + allowance,fixtures; valves; supply/drain work; rough-in; repair; access opening; finish patch allowance,HVAC; electrical except fixture/device coordination; flooring except access repair; roofing,fixture count; fixture type; drain/supply scope; access; permit?; finish patching; material responsibility; shutoff condition,plumbing_fixture_replace_v1,Replace vanity faucet and toilet,HVAC; flooring unless access confirmed; roofing
hvac,HVAC,Trade,HVAC,hvac,each + ton + btu + vent + allowance,equipment; duct; vent; thermostat; startup; refrigerant/line set; permit; electrical coordination allowance,plumbing; flooring; drywall except access repair; roofing except penetration/flashing coordination,equipment type; capacity; duct changes; vent count; thermostat; permit; electrical coordination; access; existing condition,hvac_equipment_replace_v1,Replace furnace and AC coil,plumbing; flooring; unrelated interior remodel rows
roofing,Roofing,Exterior,Roofing,roofing,sqft + square + linear_ft + each + allowance,tear-off; underlayment; shingles; flashing; vents; drip edge; cleanup; disposal; decking allowance,plumbing; interior painting; flooring; full drywall; cabinets; HVAC except roof vent/flashing,roof area/squares; pitch; layers; decking condition; flashing; gutters; ventilation; permit; access,roofing_basic_replacement_v1,Replace 15 square asphalt shingle roof,interior remodel rows; plumbing; flooring; cabinets
siding,Siding,Exterior,Siding,siding,sqft + linear_ft + each + allowance,remove siding; housewrap; siding install; trim; caulk; cleanup; sheathing allowance,plumbing; HVAC; flooring; interior drywall; interior paint,siding sqft; material; trim; sheathing damage; windows/doors integration; paint/finish; access,siding_basic_replacement_v1,Replace siding on detached garage,interior trades unless damage confirmed
framing_carpentry,Framing / Carpentry,Structural / Carpentry,Carpentry,carpentry,linear_ft + sqft + each + opening + allowance,framing; blocking; subfloor/deck board repair; rough opening repair; minor structural carpentry; hardware,plumbing; HVAC; electrical except coordination; finish flooring; painting unless included,scope area; dimensions; structural/non-structural; material; access; permit/inspection?; finish responsibility,carpentry_minor_repair_v1,Repair damaged rough opening before window install,broad MEP rows unless confirmed
trim_finish_carpentry,Trim / Finish Carpentry,Interior Finish,Finish Carpentry,finish_carpentry,linear_ft + each + room + lump_sum,baseboard; casing; crown; shoe molding; doors; caulk; nail holes; paint-ready prep,plumbing; HVAC; electrical; flooring install except transitions; drywall install,linear ft; profile; rooms; paint/stain finish; demo/remove existing?; caulk/paint by whom,baseboard_install_v1,Install baseboards in two rooms,MEP rows; full drywall/flooring rows unless confirmed
punch_list_closeout,Punch List / Closeout,Repair / Closeout,Punch List,multi_small_task,each + hour + lump_sum + allowance,small patches; caulk; adjustment; touch-up; minor hardware; final cleanup; small carpentry,large HVAC; major plumbing; major electrical; roofing; full remodel packages,task list; location; count; photos; material responsibility; access; priority; fixed price or T&M,punch_list_small_task_v1,"Fix threshold, touch up cabinets, patch baseboard",full trade packages unless confirmed
repair_correction,Repair / Correction,Repair / Correction,Repair,repair,each + sqft + linear_ft + allowance,diagnosis; small demolition; repair; replacement part; patch/finish; cleanup,unrelated full remodel trades; major MEP unless confirmed; structural work unless inspected,problem description; photos; affected area; visible cause; access; material responsibility; hidden damage risk,repair_correction_general_v1,Repair water damaged window trim,unrelated full rehab rows
diagnostic_site_visit,Diagnostic / Site Visit,Diagnostic,Site Visit,diagnostic,visit + hour + report + allowance,site visit; diagnostic inspection; photos; measurements; written report; estimate preparation allowance,installation labor; material purchases; full trade scopes,address; issue; access; photos; urgency; report needed?; follow-up estimate requested?,diagnostic_site_visit_v1,Site visit to inspect sagging floor,automatic repair/install rows
full_rehab_multi_trade,Full Rehab / Multi-Trade,Multi-Trade,Full Rehab,multi_trade,sqft + room + each + linear_ft + allowance,demo; framing; drywall; MEP; finishes; flooring; paint; fixtures; protection; cleanup,"none by default, but every trade needs phase clarity and required inputs",house sqft; rooms; trades; finish level; permit; occupancy; hidden conditions; timeline; finish material responsibility,full_rehab_budget_flip_v1,Full rehab 1200 sf house,multi-trade allowed but requires phase clarity and health checks
insurance_damage_scope,Insurance / Damage Scope,Insurance / Damage,Damage Restoration,damage_scope,room + sqft + each + allowance + report,documentation; demolition; drying/mitigation coordination; repair estimate; finish restoration; photos; line-item report,unrelated upgrades; non-damage remodeling; major MEP unless damage related,cause of loss; claim status; affected rooms; moisture status; photos; adjuster requirements; material matching; code upgrades,insurance_damage_scope_v1,Prepare repair scope for water damaged bathroom ceiling,unrelated upgrade rows
